,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
186879,127293.0,2.05523356387156,-1.15182401404489,-0.260925149298048,-0.64832677302532,-1.03476515782144,0.460418076057993,-1.35489561120144,0.183811535426721,0.0619487135630334,0.935945976286087,-0.227467066624475,0.662657053505697,1.08951538523697,-0.432874839587297,-0.0322085785054226,-0.353385382856447,-1.03785899745585,2.15647312249048,-0.425955456940642,-0.445346126330442,-0.311217642759452,-0.346496705947224,0.229033068065455,-1.03761455464618,-0.598095111016519,0.526557733218494,0.0065147760625952,-0.0469753321927043,39.85,0
14211,25254.0,-17.2751911945397,10.8196653713117,-20.3638859739149,6.04661174671427,-13.4650333517322,-4.16664724489873,-14.4094479851747,11.5807967244857,-4.07385571204177,-9.15336803834587,6.21088301172371,-8.77857203246194,-0.0613674966661798,-9.57466229922106,0.0492885399107771,-7.41848727872681,-14.1027718764864,-5.01642333521081,1.39031436050276,1.54497046707519,1.7298040916597,-1.20809608165502,-0.726839224163999,0.112539673508366,1.11919347248491,-0.233188990129274,1.68406299250578,0.503739738280361,99.99,1
169565,119757.0,-0.943171738228085,0.359359221283687,0.899748711560883,-2.70995707191629,0.96372919151155,-0.83875279251643,0.753285496101939,-0.229922871025875,0.613926375681418,-1.79499537890952,-0.820062043334558,0.883044950028778,1.28732077750466,-0.194300719757942,0.557876465908675,-0.761031621342094,-0.376041022414766,-0.121210241633397,0.923229106770649,-0.001232863546849,-0.0018373947891696,0.138221134208485,-0.577678053433983,0.562838598705328,0.913595191555728,-0.146241248948157,-0.0624216199149328,0.0382943937146879,7.24,0
106998,70229.0,0.315641749332386,1.63677796226183,-1.51964988293973,4.02857099852445,-1.18679426720391,-0.789813099852487,-2.27980740468004,0.472987926704315,-1.65763500271185,-2.89499040084744,1.60198538284757,-2.82494562476694,1.26920363552044,-5.59136368933409,-0.974827287131074,-2.73779549628906,-4.9615343155062,-2.22479740778771,-0.136117269757132,0.388884849068478,0.345920750226663,-0.1080015945344,-0.165441941824109,0.279894580016653,0.808783092569154,0.117362632970147,0.58959490284462,0.30906407378289,3.79,1
52977,45749.0,1.21719115095135,0.604685001633338,-0.479372952571405,1.16658185332713,0.22690396293497,-0.751700924174098,0.144654397021399,-0.0292294753851143,-0.199849373125015,-0.487348361011257,1.38510643800209,0.0141315443223506,-0.933970740375368,-0.990706376678159,0.505908412595247,0.928213569917828,0.572781443265938,1.29891102884093,-0.206534217887297,-0.130589077919823,-0.0473504892207861,-0.139374953074208,-0.166428187362368,-0.153355686915423,0.676151518933141,-0.321658807574714,0.0254608251971341,0.0421752731250842,1.0,0
233039,147419.0,0.0188497309733066,0.976983342373042,-0.651443516396394,-0.101768703749045,0.710440852693877,-0.385775764413148,0.505239834858738,0.204543740657027,-0.424402834831593,-0.464579393340181,-1.86781638278315,0.233583859434876,0.923934217344887,0.431019765347763,0.116201787217549,-0.224091576409844,-0.219431888514679,-0.344008948119914,1.37648084357403,-0.0906565641738619,-0.110729867193491,-0.274695180167438,0.16278912387633,-1.03258167424059,-1.43335012741432,0.216964980941942,0.130317320770662,0.191411411049036,1.98,0
105178,69394.0,1.14043132434726,1.13424300279892,-1.42945474072655,2.01222598912655,0.622800198240135,-1.1529230868157,0.22115947772768,0.0373717733484629,0.0344859259841517,-1.87964382107016,2.19166507997652,-0.487849732811135,-1.75713709936308,-4.46105120749925,-0.402884205654366,1.4109171085787,3.61925125200524,2.28492676267757,-0.443999191918561,-0.0997118777920308,-0.367136001490949,-0.891627120817809,-0.160578066799212,-0.10832596200032,0.668374321480191,-0.352393242949003,0.0719927692746503,0.113684370071235,1.0,1
191544,129308.0,0.0546821522798935,1.8564996040552,-4.075450734554,4.10009796977678,-0.800931346218859,-0.29250182507501,-2.31743139396216,1.18974699460744,-0.786237923620357,-3.90674573293228,2.99348883356357,-3.61312502993317,-1.7272971294619,-7.36463881998297,-0.343295934983382,-2.57763472583711,-0.515302055109939,1.10910710845714,2.35115138243805,0.509558726652881,0.61824776165619,0.800932138498696,0.13001647459447,0.288945953295625,-0.36665802323555,0.0303066561662426,0.431182443382693,0.110698251591246,80.9,1
151103,94625.0,1.70785693746472,0.0248807914815549,-0.488140038578959,3.78754815533943,1.13945148482475,2.91467262159314,-0.743357877946301,0.699135879021363,1.0084706473096,0.912806096143303,0.7653541419638,-2.04386838674929,1.00154733873148,1.32288725448265,-2.72007696175136,-0.153429555378718,0.752610596119435,-0.755785824269169,-1.91256263382671,-0.368014254987192,0.0108651916304298,0.548257831746395,0.0912182952145324,-1.00795946020642,-0.0821828177765288,0.179709188704528,0.0077377190320074,-0.0688413102470406,33.76,1
115574,73918.0,1.38216332703106,-0.557929218028718,-0.180608314024387,-0.809386780162558,-0.527541121990225,-0.662424590753208,-0.277059327358253,-0.278369989498755,-0.92457840594579,0.61812083422097,-0.914620251310421,-0.620621202237967,0.838261265704329,-0.211275569607793,0.666453029452857,1.21749338208061,-0.0417000860739348,-1.16772779668258,0.81476482589298,0.238245503459292,0.19545620885171,0.409910998133982,-0.270820057743183,-0.390815601221448,0.741412065523984,-0.0723451872152076,-0.0138011101662723,0.0125581340268827,64.85,0
